,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
39,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,18990,Pro,0974915000,17700.0,True,43.588896,5.002136
40,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,10,20200,Pro,0811708090,16000.0,True,43.5388336,5.4044268
41,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2013.0,16209,14990,Pro,0811708090,14200.0,True,43.94700419999999,4.8209596
42,Renault Captur DIESEL INTENS,2013.0,23000,17000,0,0.0,17600.0,False,43.107465,6.131492799999999
43,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,10,16990,Pro,0422170093,14200.0,True,43.663739,7.14882
44,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,20990,Pro,0422170093,17700.0,True,43.663739,7.14882
45,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,19500,15800,Pro,0.0,16000.0,False,43.107465,6.131492799999999
46,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,9950,19500,0,0.0,17700.0,True,43.1146883,5.9488975
47,Renault Captur DIESEL,2013.0,26000,15900,0,0.0,16788.88888888889,False,43.221502,5.634811
48,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,4363,19900,Pro,0422170107,17700.0,True,43.5603151,7.0337141
49,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,5,18490,Pro,0494673050,17700.0,True,43.5377269,6.464993
50,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,5026,17490,Pro,0422170093,16000.0,True,43.663739,7.14882
51,Renault Captur DIESEL 1.5 DCI 90 ZEN EDC,2014.0,9,19500,Pro,0422170181,16200.0,True,43.13824,5.987584399999999
52,Renault Captur DIESEL 1.5 DCI 90 INTENS EDC,2014.0,4689,19790,Pro,0608929780,17500.0,True,43.4212739,5.218332
53,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,17147,16890,Pro,0608929780,16000.0,True,43.4212739,5.218332
54,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,19239,16990,Pro,0613920082,16100.0,True,43.45859799999999,5.249702999999999
55,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,3251,18800,Pro,0422170107,17700.0,True,43.5603151,7.0337141
56,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,22000,16100,0,0615065363,16000.0,True,43.558086,5.251238
